frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
4.600000000000000200e-01,3.047992268999999968e-22,6.011839100320435169e-05
4.650000000000000244e-01,3.081122619749999942e-22,6.143238992682927317e-05
4.700000000000000289e-01,3.114252970499999916e-22,6.276059235552990426e-05
4.750000000000000333e-01,3.147383321249999890e-22,6.410299868292683304e-05
4.799999999999999822e-01,3.180513671999999864e-22,6.545960745032473947e-05
4.849999999999999867e-01,3.213644022749999839e-22,6.683040943902438750e-05
4.899999999999999911e-01,3.246774373499999813e-22,6.821542181707316991e-05
4.949999999999999956e-01,3.279904724249999787e-22,6.961463171341463895e-05
5.000000000000000000e-01,3.313035074999999761e-22,7.102805401027261162e-05
5.050000000000000044e-01,3.346165425749999735e-22,7.245576114704085902e-05
5.100000000000000089e-01,3.379295776499999709e-22,7.389766995972518954e-05
5.150000000000000133e-01,3.412426127249999683e-22,7.535377201342282965e-05
5.200000000000000178e-01,3.445556477999999657e-22,7.682409246658771277e-05
5.250000000000000222e-01,3.478686828750000102e-22,7.830859547895058280e-05
5.300000000000000266e-01,3.511817179500000076e-22,7.980732332850940967e-05
5.350000000000000311e-01,3.544947530250000050e-22,8.132023206223307796e-05
5.400000000000000355e-01,3.578077881000000024e-22,8.284735746851794975e-05
5.450000000000000400e-01,3.611208231749999998e-22,8.438867176327030086e-05
5.500000000000000444e-01,3.644338582499999972e-22,8.594420525817322647e-05
5.550000000000000488e-01,3.677468933249999946e-22,8.907366050640639743e-05
5.600000000000000533e-01,3.710599283999999920e-22,9.372172999763245780e-05
5.650000000000000577e-01,3.743729634749999894e-22,9.832413143990240817e-05
5.700000000000000622e-01,3.776859985500000339e-22,1.028809441055637510e-04
5.750000000000000666e-01,3.809990336250000313e-22,1.073921697376449915e-04
5.799999999999999600e-01,3.843120686999999346e-22,1.118578084169209941e-04
5.849999999999999645e-01,3.876251037749999321e-22,1.162776953020133508e-04
5.899999999999999689e-01,3.909381388499999295e-22,1.206521295912141122e-04
5.949999999999999734e-01,3.942511739249999739e-22,1.249808125076265952e-04
5.999999999999999778e-01,3.975642089999999713e-22,1.292640003944773392e-04
6.049999999999999822e-01,4.008772440749999687e-22,1.335012448780488361e-04
6.099999999999999867e-01,4.041902791499999661e-22,1.376928751479289739e-04
6.149999999999999911e-01,4.075033142249999635e-22,1.418389231707316788e-04
6.199999999999999956e-01,4.108163492999999609e-22,1.459393251323574925e-04
6.250000000000000000e-01,4.141293843749999584e-22,1.499941214634146580e-04
6.300000000000000044e-01,4.174424194499999558e-22,1.540032901380671048e-04
6.350000000000000089e-01,4.207554545249999532e-22,1.579669045121950951e-04
6.400000000000000133e-01,4.240684895999999506e-22,1.618848522954498704e-04
6.450000000000000178e-01,4.273815246749999480e-22,1.657572328048780149e-04
6.500000000000000222e-01,4.306945597499999454e-22,1.695840042464322205e-04
6.550000000000000266e-01,4.340075948249999428e-22,1.733651810975609699e-04
6.600000000000000311e-01,4.373206299000000343e-22,1.771006173570020489e-04
6.650000000000000355e-01,4.406336649750000317e-22,1.807905841463415769e-04
6.700000000000000400e-01,4.439467000500000291e-22,1.844349197417967238e-04
