lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
1.0,2.0140000000000002,0.07123965674291997,0.7485648914370241,0.05332750591577475,0.2514351085629759
1.0,2.016,0.07095526727409229,0.7489608954527123,0.0531427205146907,0.25103910454728773
1.0,2.0180000000000002,0.07067201309105399,0.7493564768578092,0.05295853074236118,0.25064352314219085
1.0,2.02,0.07038988966173224,0.7497516353083394,0.05277493488305732,0.25024836469166056
1.0,2.0220000000000002,0.07010889247214602,0.750146370464439,0.05259193122526197,0.249853629535561
1.0,2.024,0.0698290170263345,0.7505406819903381,0.05240951806166002,0.24945931800966192
1.0,2.0260000000000002,0.0695502588462844,0.750934569554345,0.05222769368912785,0.249065430445655
1.0,2.028,0.06927261347185908,0.7513280328288293,0.05204645640872374,0.24867196717117068
1.0,2.0300000000000002,0.06899607646072649,0.7517210714902055,0.05186580452567746,0.2482789285097945
1.0,2.032,0.06872064338828872,0.7521136852189165,0.0516857363493808,0.24788631478108347
1.0,2.0340000000000003,0.0684463098476106,0.7525058736994177,0.051506250193377276,0.24749412630058232
1.0,2.036,0.0681730714493498,0.75289763662016,0.05132734437535277,0.24710236337984004
1.0,2.0380000000000003,0.06790092382168597,0.7532889736735741,0.051149017217125364,0.24671102632642594
1.0,2.04,0.06762986261025143,0.7536798845560541,0.050971267044636094,0.24632011544394594
1.0,2.0420000000000003,0.06735988347806088,0.7540703689679413,0.0507940921879389,0.24592963103205867
1.0,2.044,0.0670909821054426,0.7544604266135083,0.05061749098119148,0.24553957338649168
1.0,2.0460000000000003,0.06682315418996881,0.7548500572009427,0.05044146176264537,0.24514994279905733
1.0,2.048,0.06655639544638721,0.7552392604423311,0.05026600287463681,0.24476073955766886
1.0,2.05,0.06629070160655223,0.7556280360536437,0.050091112663577186,0.2443719639463563
1.0,2.052,0.06602606841935668,0.7560163837547176,0.0499167894799436,0.24398361624528242
1.0,2.054,0.06576249165066406,0.7564043032692416,0.049743031678269864,0.24359569673075843
1.0,2.056,0.06549996708324035,0.75679179432474,0.04956983761713687,0.24320820567526003
1.0,2.058,0.06523849051668698,0.7571788566525571,0.04939720565916374,0.24282114334744287
1.0,2.06,0.06497805776737321,0.7575654899878417,0.04922513417099837,0.24243451001215832
1.0,2.062,0.06471866466836963,0.7579516940695307,0.049053621523308645,0.24204830593046933
1.0,2.064,0.06446030706938101,0.7583374686403342,0.04888266609077304,0.24166253135966576
1.0,2.066,0.0642029808366804,0.7587228134467201,0.048712266252072006,0.2412771865532799
1.0,2.068,0.06394668185304242,0.7591077282388977,0.04854242038987858,0.24089227176110228
1.0,2.07,0.06369140601767806,0.7594922127708031,0.04837312689084996,0.24050778722919686
1.0,2.072,0.06343714924616836,0.7598762668000837,0.04820438414561816,0.2401237331999163
1.0,2.074,0.06318390747039969,0.7602598900880824,0.04803619054878163,0.23974010991191763
1.0,2.076,0.06293167663849812,0.7606430823998226,0.04786854449889612,0.2393569176001774
1.0,2.078,0.06268045271476509,0.761025843503993,0.047701444398466256,0.23897415649600695
1.0,2.08,0.062430231679612355,0.7614081731729324,0.047534888653936576,0.2385918268270676
1.0,2.082,0.06218100952949814,0.7617900711826143,0.04736887567568321,0.23820992881738567
1.0,2.084,0.06193278227686261,0.7621715373126321,0.04720340387800491,0.2378284626873679
1.0,2.086,0.06168554595006454,0.7625525713461837,0.04703847167911489,0.2374474286538163
1.0,2.088,0.06143929659331735,0.7629331730700568,0.04687407750113194,0.2370668269299432
1.0,2.09,0.06119403026662617,0.7633133422746139,0.0467102197700723,0.2366866577253861
1.0,2.092,0.06094974304572444,0.7636930787537771,0.046546896915840914,0.23630692124622288
1.0,2.094,0.060706431022011544,0.7640723823050137,0.04638410737222335,0.23592761769498627
1.0,2.096,0.0604640903024898,0.7644512527293208,0.046221849576877104,0.2355487472706792
1.0,2.098,0.06022271700970265,0.7648296898312108,0.04606012197132366,0.2351703101687892
1.0,2.1,0.05998230728167215,0.7652076934186969,0.045898923000939854,0.23479230658130312
1.0,2.102,0.05974285727183763,0.765585263303278,0.045738251114949974,0.23441473669672197
1.0,2.104,0.05950436314899373,0.7659623992999244,0.04557810476641724,0.23403760070007562
1.0,2.106,0.059266821097229506,0.7663391012270628,0.045418482412235985,0.23366089877293716
1.0,2.108,0.05903022731586697,0.7667153689065623,0.04525938251312318,0.23328463109343767
1.0,2.11,0.05879457801940068,0.7670912021637194,0.045100803533610664,0.2329087978362806
1.0,2.112,0.05855986943743676,0.7674666008272436,0.04494274394203678,0.2325333991727564
1.0,2.114,0.05832609781463299,0.7678415647292434,0.0447852022105387,0.23215843527075664
1.0,2.116,0.05809325941063835,0.7682160937052113,0.0446281768150441,0.23178390629478873
1.0,2.118,0.0578613505000335,0.7685901875940101,0.04447166623526352,0.2314098124059899
1.0,2.12,0.05763036737227081,0.7689638462378582,0.044315668954682134,0.23103615376214182
1.0,2.122,0.057400306331615435,0.7693370694823154,0.04416018346055221,0.2306629305176846
1.0,2.124,0.057171163697085726,0.7697098571762688,0.04400520824388494,0.23029014282373117
1.0,2.126,0.05694293580239471,0.7700822091719189,0.04385074179944288,0.22991779082808106
1.0,2.128,0.056715618995891136,0.7704541253247649,0.04369678262573192,0.22954587467523513
1.0,2.13,0.056489209640501366,0.770825605493591,0.04354332922499386,0.22917439450640897
1.0,2.132,0.05626370411367075,0.7711966495404526,0.04339038010319827,0.22880335045954736
1.0,2.134,0.05603909880730618,0.7715672573306619,0.043237933770035195,0.2284327426693381
1.0,2.136,0.055815390127717864,0.771937428732774,0.04308598873890719,0.22806257126722596
1.0,2.138,0.05559257449556225,0.7723071636185734,0.04293454352692193,0.22769283638142657
1.0,2.14,0.055370648345784375,0.7726764618630597,0.04278359665488435,0.22732353813694028
1.0,2.142,0.05514960812756121,0.7730453233444342,0.04263314664728939,0.2269546766555658
1.0,2.144,0.05492945030424447,0.7734137479440857,0.04248319203231411,0.22658625205591432
1.0,2.146,0.05471017135330435,0.7737817355465771,0.04233373134181047,0.22621826445342286
1.0,2.148,0.054491767766272896,0.7741492860396318,0.04218476311129759,0.22585071396036815
1.0,2.15,0.05427423604868815,0.7745163993141198,0.04203628587995454,0.22548360068588025
1.0,2.152,0.054057572720037875,0.774883075264044,0.04188829819061264,0.22511692473595601
1.0,2.154,0.053841774313704314,0.7752493137865272,0.041740798589748336,0.22475068621347283
1.0,2.156,0.053626837376908265,0.775615114781798,0.04159378562747552,0.224384885218202
1.0,2.158,0.053412758470654235,0.7759804781531778,0.04144725785753847,0.22401952184682217
1.0,2.16,0.05319953416967508,0.7763454038070671,0.041301213837304264,0.22365459619293293
1.0,2.162,0.05298716106237753,0.776709891652932,0.04115565212775571,0.22329010834706797
1.0,2.164,0.052775635750787246,0.7770739416032912,0.041010571293483816,0.22292605839670876
1.0,2.166,0.052564954850494824,0.7774375535737026,0.04086596990268083,0.2225624464262974
1.0,2.168,0.05235511499060127,0.7778007274827499,0.04072184652713269,0.22219927251725013
1.0,2.17,0.05214611281366445,0.7781634632520292,0.04057819974221215,0.22183653674797077
1.0,2.172,0.05193794497564498,0.7785257608061367,0.040435028126871275,0.22147423919386333
1.0,2.174,0.05173060814585312,0.7788876200726543,0.0402923302636346,0.22111237992734567
1.0,2.176,0.051524099006895044,0.7792490409821375,0.040150104738591666,0.22075095901786246
1.0,2.178,0.051318414254620255,0.7796100234681019,0.04000835014139027,0.22038997653189807
1.0,2.18,0.05111355059806822,0.7799705674670103,0.03986706506522902,0.22002943253298968
1.0,2.182,0.05090950475941617,0.7803306729182596,0.03972624810685056,0.21966932708174036
1.0,2.184,0.05070627347392623,0.7806903397641681,0.03958589786653429,0.21930966023583187
1.0,2.186,0.050503853489893585,0.7810495679499624,0.03944601294808958,0.2189504320500376
1.0,2.188,0.0503022415685941,0.7814083574237645,0.03930659195884852,0.21859164257623553
1.0,2.19,0.05010143448423282,0.7817667081365792,0.03916763350965918,0.21823329186342078
1.0,2.192,0.04990142902389202,0.7821246200422813,0.03902913621487841,0.21787537995771866
1.0,2.194,0.04970222198748015,0.7824820930976027,0.038891098692365164,0.21751790690239725
1.0,2.196,0.04950381018768032,0.7828391272621197,0.03875351956347329,0.21716087273788032
1.0,2.198,0.04930619044989955,0.7831957224982404,0.03861639745304492,0.21680427750175957
1.0,2.2,0.04910935961221776,0.7835518787711923,0.038479730989403334,0.21644812122880774
1.0,2.202,0.04891331452533743,0.7839075960490092,0.038343518804346347,0.21609240395099083
1.0,2.204,0.048718052052532906,0.7842628743025192,0.0382077595331392,0.21573712569748082
1.0,2.206,0.048523569069600536,0.7846177135053319,0.03807245181450802,0.21538228649466806
