t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
1.385500000000000065e-08,2.000026036252003817e-05,2.122142341240273666e-05,5.850886864355452251e-05,-6.105815249413492469e-05,-2.549283850580402180e-06,0.000000000000000000e+00,2.024281157280348848e-16,2.202285662861180882e-18
1.385999999999999970e-08,2.000026009095501401e-05,2.122014943533575898e-05,5.844784233923626973e-05,-6.099446721903724827e-05,-2.546624879800978535e-06,0.000000000000000000e+00,2.024274830769194232e-16,2.202285662861180882e-18
1.386500000000000206e-08,2.000025981967324106e-05,2.121887678706070601e-05,5.838687968697462425e-05,-6.093084836937324750e-05,-2.543968682398623253e-06,0.000000000000000000e+00,2.024268514737193185e-16,2.202285662861180882e-18
1.387000000000000111e-08,2.000025954867442116e-05,2.121760546619161163e-05,5.832598062037880484e-05,-6.086729587585952366e-05,-2.541315255480718820e-06,0.000000000000000000e+00,2.024262209165324300e-16,2.202285662861180882e-18
1.387500000000000017e-08,2.000025927795825615e-05,2.121633547134395983e-05,5.826514507312725659e-05,-6.080380966928518403e-05,-2.538664596157927432e-06,0.000000000000000000e+00,2.024255914034603144e-16,2.202285662861180882e-18
1.388000000000000253e-08,2.000025900752445466e-05,2.121506680113466778e-05,5.820437297896763058e-05,-6.074038968051065606e-05,-2.536016701543025481e-06,0.000000000000000000e+00,2.024249629326082760e-16,2.202285662861180882e-18
1.388500000000000158e-08,2.000025873737272869e-05,2.121379945418210616e-05,5.814366427171665510e-05,-6.067703584046887325e-05,-2.533371568752218147e-06,0.000000000000000000e+00,2.024243355020854643e-16,2.202285662861180882e-18
1.389000000000000063e-08,2.000025846750277670e-05,2.121253342910608898e-05,5.808301888526010858e-05,-6.061374808016561390e-05,-2.530729194905505317e-06,0.000000000000000000e+00,2.024237091100042092e-16,2.202285662861180882e-18
1.389499999999999968e-08,2.000025819791430393e-05,2.121126872452785668e-05,5.802243675355271793e-05,-6.055052633067763769e-05,-2.528089577124919760e-06,0.000000000000000000e+00,2.024230837544808094e-16,2.202285662861180882e-18
1.390000000000000204e-08,2.000025792860702238e-05,2.121000533907009981e-05,5.796191781061809756e-05,-6.048737052315387151e-05,-2.525452712535773952e-06,0.000000000000000000e+00,2.024224594336351629e-16,2.202285662861180882e-18
