T_over_Tc,delta_kBTc,Q,h,force_scaled_error,current_scaled_error,mixed_scaled_error
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-02,6.737637682001790643e-11,1.193588339276629995e-09,1.835640861536091961e-09
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,3.000000000000000062e-03,6.014596620919390921e-13,9.608314144315954763e-12,1.488320577891499852e-11
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-03,6.338056032218835178e-13,3.872457909892546013e-13,1.387778780781445676e-13
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,2.999999999999999737e-04,9.354096488929867202e-13,7.881473251813986280e-13,1.942890293094023946e-12
8.000000000000000444e-01,2.000000000000000000e+00,1.499999999999999944e-01,1.000000000000000048e-04,2.100082083227268488e-12,2.603472992745992087e-13,3.238187495924194081e-12
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-02,8.573167819639383205e-11,2.075096004407281962e-09,2.214079180072312891e-09
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,3.000000000000000062e-03,5.825751807795932027e-13,1.679598642120048658e-11,1.779959984513416752e-11
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-03,5.009456727876400492e-13,1.206409311274791749e-14,8.889404517150732014e-14
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,2.999999999999999737e-04,9.384929751831393966e-13,1.792605573343395373e-12,1.776947982414379156e-12
8.000000000000000444e-01,2.000000000000000000e+00,4.500000000000000111e-01,1.000000000000000048e-04,1.479678546276671830e-12,2.270422769415509581e-13,4.442436593248259275e-12
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-02,7.172940467014029488e-11,2.392742029792164560e-09,5.659096301306818901e-10
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,3.000000000000000062e-03,7.427266742893911742e-13,1.938296253194350460e-11,4.726949889611095890e-12
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-03,1.927721380166379240e-13,6.010510852805700802e-14,1.390180854785901459e-14
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,2.999999999999999737e-04,9.521171000660841056e-13,3.309787976278339498e-13,8.374583462556865866e-13
8.000000000000000444e-01,2.000000000000000000e+00,7.500000000000000000e-01,1.000000000000000048e-04,4.829717577412248858e-12,1.963567112157702557e-12,2.931104211891357344e-12
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-02,1.614056726814694365e-10,1.807003620809174185e-18,2.168404344971008868e-17
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,3.000000000000000062e-03,1.307517462356688753e-12,6.023345402697246256e-18,7.228014483236695816e-17
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000021e-03,1.602711019454972075e-14,3.614007241618347908e-17,1.445602896647339163e-16
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.999999999999999737e-04,5.039371697712624609e-16,6.023345402697246719e-17,2.409338161078898687e-16
9.799999999999999822e-01,2.500000000000000000e-01,0.000000000000000000e+00,1.000000000000000048e-04,2.854487479719836074e-15,1.807003620809173892e-16,1.445602896647339114e-15
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-02,1.524930294885540327e-10,1.417704616896164893e-10,9.840780135217386260e-10
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,3.000000000000000062e-03,1.235090155149443092e-12,1.148558678720768000e-12,7.973566251706643015e-12
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000021e-03,1.542906427620671650e-14,1.387952253129043356e-14,1.003225280626907079e-13
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,2.999999999999999737e-04,9.324138683375338132e-17,3.122502256758252770e-17,1.541822225448186146e-14
9.799999999999999822e-01,2.500000000000000000e-01,1.499999999999999944e-01,1.000000000000000048e-04,6.353424730765055983e-16,2.688821387764050996e-16,8.384959393481494772e-14
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-02,9.774628328962364776e-11,2.487287181773822908e-10,1.739377919474094369e-09
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,3.000000000000000062e-03,7.910616606210396640e-13,2.015339284344719317e-12,1.409422578646513102e-11
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000021e-03,9.478529072737273964e-15,2.647881913730998349e-14,1.694200335577988881e-13
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,2.999999999999999737e-04,1.473821065189895307e-14,1.583455588871629516e-14,7.716050021144837956e-15
9.799999999999999822e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000048e-04,2.911559882079473027e-14,6.175615574477433256e-14,4.394817842978682165e-13
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-02,4.200781389407381994e-11,1.268556162892231498e-10,8.762988112920311323e-10
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,3.000000000000000062e-03,3.410050020136168314e-13,1.024777485092442930e-12,7.084222097830661369e-12
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-03,1.182387521225791716e-14,2.374489493917053551e-14,1.601496713021788310e-13
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.999999999999999737e-04,3.283484595328900468e-14,1.066507993030541002e-14,2.929878561985788110e-13
9.799999999999999822e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000048e-04,2.403632848313463910e-14,4.427014310692811705e-14,5.782041512247815263e-13
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000021e-02,3.646147411773270619e-10,1.445602896647339348e-17,0.000000000000000000e+00
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,3.000000000000000062e-03,2.956218603245019949e-12,4.818676322157797005e-17,1.156482317317871331e-15
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000021e-03,5.045963646921336476e-14,1.445602896647339163e-16,0.000000000000000000e+00
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,2.999999999999999737e-04,1.068589661201713170e-14,4.818676322157797375e-16,7.709882115452475800e-15
9.799999999999999822e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000048e-04,9.547918011776346248e-15,1.445602896647339114e-15,1.156482317317871291e-14
9.799999999999999822e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.000000000000000021e-02,3.484789956598177696e-10,1.097759383394958377e-09,1.697349427676186906e-09
9.799999999999999822e-01,8.000000000000000444e-01,1.499999999999999944e-01,3.000000000000000062e-03,2.825836786790603128e-12,8.893275005306122694e-12,1.375982661144803387e-11
9.799999999999999822e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.000000000000000021e-03,3.699818229563334171e-14,1.153521722585537646e-13,1.757483047981622803e-13
