nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
1.300649999999999862e-01,3.360543999999999789e-86,4.806510999999999728e-06,2.083952486691138427e-07
1.311460000000000126e-01,3.360543999999999789e-86,4.886578999999999992e-06,2.136343638141139769e-07
1.327859999999999874e-01,3.360543999999999789e-86,5.009507000000000045e-06,2.217491543341138521e-07
1.344249999999999889e-01,3.360543999999999789e-86,5.133961999999999686e-06,2.300617271796138672e-07
1.360639999999999905e-01,3.360543999999999789e-86,5.259943999999999762e-06,2.385795331466138953e-07
1.377039999999999931e-01,3.360543999999999789e-86,5.387453000000000272e-06,2.473103986866139301e-07
1.393429999999999946e-01,3.360543999999999789e-86,5.516489000000000369e-06,2.562461791556139198e-07
1.400700000000000001e-01,3.360543999999999789e-86,5.574404999999999867e-06,2.602777191246139349e-07
1.409819999999999962e-01,3.360543999999999789e-86,5.647053000000000294e-06,2.653947039726139294e-07
1.426219999999999988e-01,3.360543999999999789e-86,5.779143000000000413e-06,2.747641846926139609e-07
1.442610000000000003e-01,3.360543999999999789e-86,5.912760000000000120e-06,2.843456992011139879e-07
1.459000000000000019e-01,3.360543999999999789e-86,6.047904999999999654e-06,2.941474641686140139e-07
1.475400000000000045e-01,3.360543999999999789e-86,6.184576000000000229e-06,3.041780985886140449e-07
1.491790000000000060e-01,3.360543999999999789e-86,6.322774999999999785e-06,3.144278727331140572e-07
1.500749999999999862e-01,3.360543999999999789e-86,6.399163000000000111e-06,3.201273009571139263e-07
1.508180000000000076e-01,3.360543999999999789e-86,6.462500999999999775e-06,3.249054091331140712e-07
1.524580000000000102e-01,3.360543999999999789e-86,6.603752999999999960e-06,3.356197374131140976e-07
1.540970000000000117e-01,3.360543999999999789e-86,6.746532999999999972e-06,3.465602967901140962e-07
1.557360000000000133e-01,3.360543999999999789e-86,6.890840000000000418e-06,3.577361239636141061e-07
1.573759999999999881e-01,3.360543999999999789e-86,7.036673999999999605e-06,3.691566854436139155e-07
1.590149999999999897e-01,3.360543999999999789e-86,7.184035000000000074e-06,3.808105564691139366e-07
1.600800000000000001e-01,3.360543999999999789e-86,7.280784000000000221e-06,3.885130725866139938e-07
1.606539999999999913e-01,3.360543999999999789e-86,7.332923000000000129e-06,3.927072064956139098e-07
1.622939999999999938e-01,3.360543999999999789e-86,7.483337999999999773e-06,4.048565405156139250e-07
1.639329999999999954e-01,3.360543999999999789e-86,7.635279999999999850e-06,4.172462479666139341e-07
1.655719999999999970e-01,3.360543999999999789e-86,7.788748999999999515e-06,4.298862397321139315e-07
1.672119999999999995e-01,3.360543999999999789e-86,7.943744999999999615e-06,4.427868848121139436e-07
1.688510000000000011e-01,3.360543999999999789e-86,8.100268000000000149e-06,4.559349534656139591e-07
1.700849999999999862e-01,3.360543999999999789e-86,8.219195999999999902e-06,4.660040627536138241e-07
1.704910000000000037e-01,3.360543999999999789e-86,8.258319000000000510e-06,4.693489982986139702e-07
1.721300000000000052e-01,3.360543999999999789e-86,8.417896000000000219e-06,4.830151564911139357e-07
1.737690000000000068e-01,3.360543999999999789e-86,8.579000000000000362e-06,4.969441127631139939e-07
1.754090000000000094e-01,3.360543999999999789e-86,8.741632000000000333e-06,5.111470310031140084e-07
1.770480000000000109e-01,3.360543999999999789e-86,8.905789999999999651e-06,5.256090933321140466e-07
1.786870000000000125e-01,3.360543999999999789e-86,9.071476000000000490e-06,5.403414628191140954e-07
1.800900000000000001e-01,3.360543999999999789e-86,9.214529000000000627e-06,5.531690953266139678e-07
1.803269999999999873e-01,3.360543999999999789e-86,9.238689000000000070e-06,5.553558016596138642e-07
1.819659999999999889e-01,3.360543999999999789e-86,9.407428000000000692e-06,5.706362945411139054e-07
1.836049999999999904e-01,3.360543999999999789e-86,9.577694999999999446e-06,5.861946028396138928e-07
1.852449999999999930e-01,3.360543999999999789e-86,9.749489000000000329e-06,6.020428937196139618e-07
1.868839999999999946e-01,3.360543999999999789e-86,9.922809999999999953e-06,6.181643427501139540e-07
1.885229999999999961e-01,3.360543999999999789e-86,1.009766000000000049e-05,6.345711179151139343e-07
