time,ue_0,ue_1,uph_0,uph_1,escape,total
1.387500000000000000e+01,5.084931539201122952e-01,3.627058282096737307e-01,2.376406260660508113e-02,6.461854621238990320e-03,1.988346558196528446e-01,1.100259555177282911e+00
1.400000000000000000e+01,5.078519117590856169e-01,3.631625373171777360e-01,2.353396057913799411e-02,6.491395521081093703e-03,1.992197500008004440e-01,1.100259555177282911e+00
1.412500000000000000e+01,5.072125612255227178e-01,3.636151249100130212e-01,2.330962299939232096e-02,6.520493747064632847e-03,1.996017522952903966e-01,1.100259555177283133e+00
1.425000000000000000e+01,5.065752177106002119e-01,3.640636193887110683e-01,2.309082347090350013e-02,6.549150519992771174e-03,1.999807440870754183e-01,1.100259555177282911e+00
1.437500000000000000e+01,5.059399894022418298e-01,3.645080492826410223e-01,2.287734594726659881e-02,6.577367224593988135e-03,2.003568033205394006e-01,1.100259555177282689e+00
1.450000000000000000e+01,5.053069776411176495e-01,3.649484432288683244e-01,2.266898424648148072e-02,6.605145401734809248e-03,2.007300046590806131e-01,1.100259555177282911e+00
1.462500000000000000e+01,5.046762772657673590e-01,3.653848299517170051e-01,2.246554158000566709e-02,6.632486740893020483e-03,2.011004196388999909e-01,1.100259555177283133e+00
1.475000000000000000e+01,5.040479769509451646e-01,3.658172382426860270e-01,2.226683009099826929e-02,6.659393072895784457e-03,2.014681168197577366e-01,1.100259555177283133e+00
1.487500000000000000e+01,5.034221595432875063e-01,3.662456969403681817e-01,2.207267039623898863e-02,6.685866362927109750e-03,2.018331619344610750e-01,1.100259555177282911e+00
1.500000000000000000e+01,5.027989023816001879e-01,3.666702349114772108e-01,2.188289114881209613e-02,6.711908703766244870e-03,2.021956180316271112e-01,1.100259555177282689e+00
1.512500000000000000e+01,5.021782774480306744e-01,3.670908810463543448e-01,2.169732882839589538e-02,6.737522308799969231e-03,2.025555455457020704e-01,1.100259555177282911e+00
1.525000000000000000e+01,5.015603517157983804e-01,3.675076642371924995e-01,2.151582726715802613e-02,6.762709505836931798e-03,2.029130024512971198e-01,1.100259555177282911e+00
1.537500000000000000e+01,5.009451874041739305e-01,3.679206133640449128e-01,2.133823730053201195e-02,6.787472730999977687e-03,2.032680443775321255e-01,1.100259555177282911e+00
