delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,2.5168257244440227e-05,4.439370862759191e-05,0.010067299813753604,-1.4780386341128369e-05,6.4071748673709905,0.00012300126766971934
0.05,2.5413978080117998e-05,4.4827129943664264e-05,0.010165588067291113,-1.492107522150402e-05,6.407174867202545,0.00012420214439160958
0.05,2.566209791897266e-05,4.5264782806117195e-05,0.01026483591981391,-1.506303085263272e-05,6.407174867030796,0.00012541474542273676
0.05,2.5912640182771495e-05,4.570670852806569e-05,0.010365052739962296,-1.5206262446461505e-05,6.40717486685568,0.00012663918522899347
0.05,2.616562852195158e-05,4.6152948825970166e-05,0.010466247987842554,-1.5350779211727305e-05,6.407174866677126,0.00012787557939381814
0.05,2.6421086817852e-05,4.660354582357371e-05,0.010568431215919738,-1.5496590351178135e-05,6.407174866495071,0.00012912404462910365
0.05,2.667903918496839e-05,4.705854205587892e-05,0.010671612069919456,-1.5643705058689383e-05,6.407174866309445,0.0001303846987862161
0.05,2.693950997322921e-05,4.751798047316285e-05,0.010775800289738293,-1.579213251626512e-05,6.407174866120177,0.00013165766086711903
0.05,2.7202523770294316e-05,4.798190444503153e-05,0.010881005710363207,-1.5941881890929344e-05,6.4071748659272,0.00013294305103560703
0.05,2.746810540387595e-05,4.845035776451383e-05,0.010987238262799825,-1.6092962331493374e-05,6.407174865730433,0.0001342409906286488
0.05,2.773627994408235e-05,4.892338465219532e-05,0.011094507975009864,-1.6245382965206027e-05,6.40717486552981,0.00013555160216784063
0.05,2.8007072705784516e-05,4.940102976039295e-05,0.011202824972857718,-1.6399152894273834e-05,6.407174865325251,0.00013687500937097327
0.05,2.828050925100553e-05,4.988333817736953e-05,0.01131219948106615,-1.6554281192254134e-05,6.407174865116681,0.0001382113371637088
0.05,2.855661539133375e-05,5.0370355431590275e-05,0.011422641824181484,-1.6710776900311923e-05,6.407174864904018,0.00013956071169137442
0.05,2.883541719035928e-05,5.086212749602049e-05,0.011534162427548131,-1.6868649023340173e-05,6.407174864687185,0.00014092326033086986
0.05,2.911694096613432e-05,5.1358700792465276e-05,0.011646771818292628,-1.7027906525935815e-05,6.407174864466098,0.00014229911170269134
0.05,2.9401213293657488e-05,5.186012219595159e-05,0.011760480626317306,-1.7188558328230144e-05,6.4071748642406785,0.000143688395683073
0.05,2.968826100738238e-05,5.236643903915301e-05,0.011875299585303617,-1.7350613301566886e-05,6.407174864010835,0.00014509124341624655
0.05,2.9978111203750875e-05,5.2877699116858245e-05,0.011991239533725403,-1.7514080264024097e-05,6.407174863776483,0.00014650778732682213
0.05,3.027079124375063e-05,5.339395069048215e-05,0.012108311415871759,-1.7678967975774116e-05,6.407174863537536,0.0001479381611322867
0.05,3.056632875549809e-05,5.3915242492621884e-05,0.012226526282880186,-1.7845285134278428e-05,6.4071748632939025,0.00014938249985562823
0.05,3.086475163684645e-05,5.444162373165703e-05,0.012345895293779665,-1.801304036930969e-05,6.407174863045492,0.00015084093983808077
0.05,3.116608805801912e-05,5.4973144096394725e-05,0.012466429716543957,-1.818224223779899e-05,6.407174862792207,0.00015231361875199488
0.05,3.147036646426893e-05,5.5509853760760094e-05,0.012588140929155178,-1.8352899218498914e-05,6.407174862533957,0.0001538006756138333
0.05,3.177761557856325e-05,5.6051803388532596e-05,0.012711040420677772,-1.8525019706459778e-05,6.407174862270639,0.00015530225079729413
0.05,3.208786440429531e-05,5.65990441381283e-05,0.01283513979234288,-1.8698612007312283e-05,6.40717486200216,0.00015681848604656056
0.05,3.240114222802227e-05,5.715162766742967e-05,0.012960450758643534,-1.8873684331350187e-05,6.407174861728414,0.0001583495244896832
0.05,3.271747862222941e-05,5.7709606138661106e-05,0.013086985148440148,-1.905024478740749e-05,6.4071748614493,0.00015989551065208834
0.05,3.3036903448121944e-05,5.827303222331348e-05,0.013214754906077207,-1.922830137652393e-05,6.4071748611647115,0.00016145659047022266
0.05,3.335944685844376e-05,5.884195910711596e-05,0.013343772092510581,-1.940786198539092e-05,6.407174860874543,0.00016303291130532837
0.05,3.368513930032373e-05,5.941644049505661e-05,0.013474048886445968,-1.9588934379573395e-05,6.407174860578684,0.00016462462195735374
0.05,3.40140115181498e-05,5.999653061645187e-05,0.01360559758548838,-1.977152619649811e-05,6.407174860277026,0.0001662318726789992
0.05,3.434609455647139e-05,6.058228423006611e-05,0.01373843060730301,-1.995564493820489e-05,6.40717485996945,0.00016785481518990185
0.05,3.468141976292955e-05,6.117375662928e-05,0.013872560490787137,-2.014129796384852e-05,6.407174859655839,0.00016949360269095582
0.05,3.502001879121631e-05,6.177100364731043e-05,0.014007999897253723,-2.0328492481948477e-05,6.407174859336083,0.0001711483898787744
0.05,3.536192360406265e-05,6.2374081662481e-05,0.0141447616116265,-2.051723554237657e-05,6.407174859010055,0.00017281933296029372
0.05,3.5707166476255696e-05,6.298304760354393e-05,0.014282858543646679,-2.070753402807432e-05,6.407174858677635,0.0001745065896675174
0.05,3.6055779997685316e-05,6.359795895505381e-05,0.014422303729091418,-2.0899394646491624e-05,6.407174858338694,0.00017621031927240598
0.05,3.640779707642057e-05,6.421887376279427e-05,0.014563110331004329,-2.1092823920741573e-05,6.407174857993107,0.00017793068260191252
0.05,3.6763250941816006e-05,6.484585063925688e-05,0.014705291640937737,-2.1287828180456496e-05,6.4071748576407455,0.00017966784205316274
0.05,3.712217514764874e-05,6.547894876917471e-05,0.014848861080207438,-2.1484413552342615e-05,6.407174857281474,0.00018142196160878687
0.05,3.7484603575285376e-05,6.611822791510841e-05,0.014993832201159263,-2.1682585950420542e-05,6.407174856915159,0.00018319320685239728
0.05,3.7850570436880605e-05,6.676374842308797e-05,0.015140218688448333,-2.1882351065942482e-05,6.407174856541659,0.00018498174498421944
